Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm)
1,1,2018,0.4,10.4,0,2.3
2,1,2018,3.6,11.6,0,2.5
3,1,2018,1.8,12.9,0,2.8
4,1,2018,9.6,16.6,0,3
5,1,2018,3.4,12.9,0,2.5
6,1,2018,4.8,13.4,0,2
7,1,2018,6.4,15.1,0,2
8,1,2018,7.6,14.3,0,1.6
9,1,2018,7.9,16.6,1.78,3.7
10,1,2018,8.3,12.7,5.84,1.8
11,1,2018,4.4,11.4,0,1.9
12,1,2018,3.1,11.4,0,2.1
13,1,2018,2.7,12.2,0,2.8
14,1,2018,3.4,12.7,0,2.3
15,1,2018,3.7,12.3,0,2.5
16,1,2018,4.6,13,0,2.9
17,1,2018,6.7,13.7,0,3.9
18,1,2018,1.7,11.4,0,2.6
19,1,2018,1.5,12.2,0,2.7
20,1,2018,7.1,12.6,0,2.3
21,1,2018,3.5,8.6,0,3.2
22,1,2018,-2.9,5.7,0,2.4
23,1,2018,-2.8,8,0,3.1
24,1,2018,-0.1,10.9,0,4.2
25,1,2018,0.5,12,0,3.6
26,1,2018,3.5,12,0,3
27,1,2018,-0.4,10.1,0,3.4
28,1,2018,0.7,13.2,0,4.3
29,1,2018,4.3,15,0,5.3
30,1,2018,4.2,14.4,0,3.3
31,1,2018,2.6,13,0,3.4
1,2,2018,1.1,13.2,0,3.3
2,2,2018,2.3,13.7,0,3.1
3,2,2018,1.7,14.1,0,3.7
4,2,2018,4.3,14.5,0,3.5
5,2,2018,3.9,14.5,0,3.6
6,2,2018,3.7,16.2,0,4.5
7,2,2018,5.1,14.9,0,4.1
8,2,2018,3.2,14.5,0,4.1
9,2,2018,2.5,14.9,0,4.2
10,2,2018,6.3,17.4,0,4.5
11,2,2018,7.8,16,0,4.1
12,2,2018,8.5,15,0,2.1
13,2,2018,12,16.9,0,3.1
14,2,2018,7.1,11.8,0.76,0.2
15,2,2018,10.9,13.3,4.32,1
16,2,2018,9.1,13,1.78,0.6
17,2,2018,4.9,12.9,0,2.4
18,2,2018,5.8,15.4,0,0.2
19,2,2018,7.6,15,0,4.2
20,2,2018,3.2,9.5,0,3.8
21,2,2018,-1.4,8.1,0,3.1
22,2,2018,1.5,9.3,0,3.6
23,2,2018,2.5,9.3,0,4.4
24,2,2018,0.7,8,0,3.6
25,2,2018,-2.8,7.7,0,3.7
26,2,2018,-3.4,8.9,0,3.8
